title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylic and enamel on blanket mounted on tied wood supports with twine,$400K,$5.8M,14.6x,11 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:2025efe107f3cf7,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN12156lot20A.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),colored oilsticks on paper,$40.3K,$578.5K,14.4x,13 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:77f31441aad2261,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2482lot300.jpg
Job analisis,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylic and oilstick on canvas,$244.5K,$3.4M,14.1x,12 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/job-analisis-w:0f193d7004d4c04,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2440lot29.jpg
Portrait of keith haring,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),oilstick on paper,$22.4K,$314.5K,14x,14 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/portrait-of-keith-haring-w:12270bda9581671,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2316lot476.jpg
Anatomy six,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),oil stick on paper,$15.2K,$209.9K,13.8x,19 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/anatomy-six-w:ad323245244803e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL11798lot138.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$22.5K,$305K,13.5x,16 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:116da0f254b604f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PNY010415lot204.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$39.1K,$506.5K,13x,14 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:e4ef30df878fd02,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08745lot409.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylic on canvas,$4.5M,$57.3M,12.8x,12 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:8f46e4aec13df3e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN12152lot36B.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),oilstick and oil on paper,$20K,$245K,12.3x,15 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:0a314fd61212083,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN3792lot512.jpg
Made in japan i,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylic and oilstick on paper mounted on canvas,$724.7K,$8M,11x,12 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/made-in-japan-i-w:74aed1d2b5c7922,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN3495lot23.jpg
Year of the boar,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),triptych--acrylic on canvas mounted on wood supports,$250.1K,$2.8M,11x,14 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/year-of-the-boar-w:420e7073ef8e6ea,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL1150lot35.jpg
Untitled (devil's head),JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$330K,$3.6M,10.9x,12 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-(devil's-head)-w:6dd880fdb28d98b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PNY010716lot24.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$81.6K,$845K,10.4x,10 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:83bcdc1e919c0d9,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PNY010315lot30.jpg
Bird as buddha,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$335.8K,$3.3M,9.9x,18 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/bird-as-buddha-w:3aae4f7032a384e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PUK010418lot19.jpg
Ribs ribs,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),oilstick on paper,$626.5K,$6.2M,9.8x,5 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/ribs-ribs-w:a2d4d6e8785f99e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2785lot43.jpg
59 homers,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),colored oilsticks on paper,$23K,$218.5K,9.5x,14 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/59-homers-w:67931956e5cb1f2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2482lot302.jpg
Eroica i,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$643.8K,$5.9M,9.2x,11 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/eroica-i-w:8aeba2bd8f72b58,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08744lot49.jpg
Henry geldzahler,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),"""mine de plomb, huile et collage de papier sur panneau """,$40.3K,$354.3K,8.8x,15 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/henry-geldzahler-w:f3444cb43a8d41e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CP1061lot16.jpg
Peter and the wolf,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),"""acrylic, oilstick and paper collage on canvas """,$662.5K,$5.8M,8.7x,14 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/peter-and-the-wolf-w:8a46896c50a8baa,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2847lot38.jpg
Self-portrait,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),"""acrylic, oil, oilstick and paper collage on three hinged wooden panels""",$578K,$4.8M,8.3x,16 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/self-portrait-w:54b146f0eb328af,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL11797lot7.jpg
Origin of cotton,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$36.8K,$293K,8x,14 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/origin-of-cotton-w:2241989b1b48d0e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08992lot265.jpg
Turtle creek,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$269.8K,$2M,7.5x,15 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/turtle-creek-w:17e0863d246cb75,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SPF1505lot16.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),oilstick on paper,$58.8K,$439.5K,7.5x,16 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:fa4db7257830fa9,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN12159lot459.jpg
Untitled (everybody's 2 cents),JEAN MICHEL BASQUIAT (b. 1960 d. 1988),"""acrylic, oil and silkscreen ink on canvas""",$396.8K,$2.9M,7.3x,16 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-(everybody's-2-cents)-1984-w:962f03a593a7478,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN20001lot227.jpg
Brown eggs,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$253.9K,$1.8M,7.3x,11 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/brown-eggs-w:bda998471df44aa,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL15022lot47.jpg
Untitled (from the series famous negro athletes),JEAN MICHEL BASQUIAT (b. 1960 d. 1988),wax crayon on paper,$26.4K,$191.1K,7.3x,11 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-(from-the-series-famous-negro-athletes)-w:32c857677ec91a3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CA14879lot32.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$74K,$510K,6.9x,9 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:37e9ad8a5bf7100,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08318lot546.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),"""wax crayon, glue and coffee stains on paper""",$89.6K,$612.5K,6.8x,13 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:feb1e9e34ab4664,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN14997lot806.jpg
"""da vinci's water theory"" for victor hugo""",JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$278.8K,$1.6M,5.8x,6 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/%22da-vinci's-water-theory%22-for-victor-hugo%22-w:4ef220ba743cafd,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08318lot549.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$16.5K,$93.8K,5.7x,25 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:9e49f31b82e2b0e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PNY010116lot126.jpg
Venus,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$62.5K,$343.8K,5.5x,5 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/venus-w:3a8d6c282a29e82,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PNY010418lot179.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),"""acrylic, oilstick and chalk on paper """,$248K,$1.4M,5.5x,6 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:e3193f2bd509638,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL7357lot20.jpg
Marlboro man,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$70.5K,$384K,5.4x,6 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/marlboro-man-w:341f06778e0ccea,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08318lot602.jpg
Porter,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$231K,$1.2M,5.1x,18 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/porter-w:d4c8377333873bb,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL07020lot28.jpg
Self-portrait,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$647.5K,$3.3M,5.1x,10 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/self-portrait-w:a3422a14d4f8cca,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PNY010713lot11.jpg
Untitled (taxi cab),JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$49.6K,$217K,4.4x,7 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-(taxi-cab)-w:8e21eaccd8d5f50,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08442lot579.jpg
Sans titre,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),acrylique et crayons gras sur drap tendu sur un support en bois,$442.5K,$1.9M,4.4x,8 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/sans-titre-w:f00af70480eaea5,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CP5611lot12.jpg
Hong kong,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),"""graphite, colored pencil and xerox collage on paper """,$52.9K,$230.5K,4.4x,9 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/hong-kong-w:6f20f780d35c42b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2357lot343.jpg
Ajoco,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),wax crayon on paper,$27.8K,$113.3K,4.1x,10 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/ajoco-w:2b44be16d3108a2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL1135lot220.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),oilstick on paper,$66K,$266.5K,4x,6 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:7ebdd540b2d6b86,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2559lot518.jpg
Spike,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$534.4K,$1.9M,3.6x,7 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/spike-w:f4e278f463c83c2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL11024lot26.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),oilstick on paper,$160.4K,$569K,3.5x,5 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:42745b1d7a9f4b0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2793lot467.jpg
Untitled,JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$2.8M,$9M,3.3x,10 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-w:5f4dcba7d96e474,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PNY010718lot15.jpg
Untitled (head),JEAN MICHEL BASQUIAT (b. 1960 d. 1988),,$1.8M,$5.7M,3.2x,3 years,https://www.masterworks.com/research/artist/JEAN-MICHEL-BASQUIAT/artwork/untitled-(head)-w:42fd39712714dc7,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL07024lot48.jpg
