title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Nature morte aux pommes,PABLO PICASSO (b. 1881 d. 1973),coloured paper collage and crayon on card,$29.7K,$86.1K,2.9x,26 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/nature-morte-aux-pommes-1945-w:8c2857d9edcf254,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL5616lot76.jpg
Tête de femme de profil,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$273.4K,$792K,2.9x,17 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/tte-de-femme-de-profil-1924-w:c33e1bd884388d0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL1133lot172.jpg
Femme dans un rocking-chair,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$2.2M,$6.3M,2.9x,13 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femme-dans-un-rocking-chair-1956-w:eb2905b9665f2a9,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN09139lot59.jpg
Le homard dans un panier,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$772.5K,$2.2M,2.8x,16 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/le-homard-dans-un-panier-1965-w:89dfddfa9293f26,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN3783lot401.jpg
Femme dans un fauteuil,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$2.6M,$7.2M,2.8x,11 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femme-dans-un-fauteuil-1932-w:4451fea524c357a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL6677lot80.jpg
Picador et personnage,PABLO PICASSO (b. 1881 d. 1973),pen and brush with india ink and wash on paper,$176.7K,$487.4K,2.8x,15 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/picador-et-personnage-1960-w:10894843751ba4c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL11789lot157.jpg
Grappe de raisin,PABLO PICASSO (b. 1881 d. 1973),oil and collage with sawdust on canvas,$495.1K,$1.4M,2.8x,12 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/grappe-de-raisin-1914-w:2cc2e25ea879ac8,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL10334lot22.jpg
Verre et compotier,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$266.9K,$735K,2.8x,17 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/verre-et-compotier-1922-w:8f72a34b3659ebe,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL12002lot251.jpg
Homme assis et centaure,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$880K,$2.4M,2.7x,24 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/homme-assis-et-centaure-1972-w:3cf8b8684f6f432,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN3442lot63.jpg
Tête d'homme,PABLO PICASSO (b. 1881 d. 1973),charcoal on paper,$525K,$1.4M,2.7x,15 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/tte-d'homme-1912-w:110e16df813f734,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1370lot78.jpg
Femme debout,PABLO PICASSO (b. 1881 d. 1973),bronze,$54K,$145.8K,2.7x,6 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femme-debout-1949-w:cca695e2c024ebd,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL11007lot25.jpg
Femmes jouant au bord de la mer,PABLO PICASSO (b. 1881 d. 1973),pen and brush and ink and wash on paper,$178.5K,$473.6K,2.7x,14 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femmes-jouant-au-bord-de-la-mer-1932-w:cbe762ebb11ba7a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL13006lot449.jpg
Nature morte au compotier,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$400K,$1.1M,2.6x,21 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/nature-morte-au-compotier-1920-w:0bc466c149e1383,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL7951lot353.jpg
Le déjeuner de l'ouvrier (quart de brie),PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$552.5K,$1.4M,2.6x,12 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/le-djeuner-de-l'ouvrier-(quart-de-brie)-1923-w:e29e3a90b6d2a2e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL7058lot438.jpg
Le peintre et son modèle,PABLO PICASSO (b. 1881 d. 1973),oil and ripolin on canvas,$889.5K,$2.3M,2.6x,18 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/le-peintre-et-son-modle-1964-w:0f9f6af9599966c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL20201lot337.jpg
Nus et homme assis avec un chapeau,PABLO PICASSO (b. 1881 d. 1973),pen and ink and pencil on paper,$48.3K,$119.7K,2.5x,11 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/nus-et-homme-assis-avec-un-chapeau-1950-w:0b6ed90b7e183d8,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL09607lot427.jpg
Visage de femme,PABLO PICASSO (b. 1881 d. 1973),crayon on paper,$56.7K,$137.5K,2.4x,13 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/visage-de-femme-1970-w:a669693b6c5f45e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN09220lot321.jpg
Tête de taureau,PABLO PICASSO (b. 1881 d. 1973),9.1 cm x 6.9 cm,$4.7K,$11.3K,2.4x,2 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/tte-de-taureau-1959-w:8d349e8ca743f86,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/LL21005lot191.jpg
Femme assise,PABLO PICASSO (b. 1881 d. 1973),brush and pen and india ink and gray wash on paper,$455.5K,$1.1M,2.4x,11 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femme-assise-1953-w:8f58bc3ad74f8e0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN3736lot44.jpg
Mère et enfant aux fleurs,PABLO PICASSO (b. 1881 d. 1973),oil on board,$2.5M,$6M,2.4x,12 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/mre-et-enfant-aux-fleurs-1901-w:643b604ee8fb148,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08741lot119.jpg
Le déjeuner sur l'herbe,PABLO PICASSO (b. 1881 d. 1973),colored wax crayons and brush and black ink on panel,$859.1K,$2M,2.3x,23 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/le-djeuner-sur-l'herbe-1959-w:d6c972479dd7646,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2594lot59.jpg
Horloge aux chiffres,PABLO PICASSO (b. 1881 d. 1973),silver repoussé,$32.5K,$75K,2.3x,3 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/horloge-aux-chiffres-1956-w:f2b8a2371399dcf,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN2784lot101.jpg
Les amants,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$6.3M,$14.6M,2.3x,7 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/les-amants-1932-w:8cc7236fbede045,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08314lot45.jpg
Françoise sur fond gris,PABLO PICASSO (b. 1881 d. 1973),lithograph on blue-grey ingres canson mounted to arches paper (as issued),$70.8K,$161K,2.3x,6 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/franoise-sur-fond-gris-1950-w:82fb44d0b820e51,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN3443lot147.jpg
Grand vase aux femmes nues,PABLO PICASSO (b. 1881 d. 1973),painted and incised,$230.5K,$521K,2.3x,4 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/grand-vase-aux-femmes-nues-1950-w:fc250ccd1d127c1,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2890lot104.jpg
"""adolescents, aigle et âne""",PABLO PICASSO (b. 1881 d. 1973),coloured crayons on paper,$437.3K,$984.8K,2.3x,5 years,"https://www.masterworks.com/research/artist/pablo-picasso/artwork/%22adolescents,-aigle-et-ne%22-1967-w:90fdaddd17a6416",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL14004lot24.jpg
"""femme, peintre et modèle""",PABLO PICASSO (b. 1881 d. 1973),ink wash and brush and ink on paper,$76.4K,$171.9K,2.3x,10 years,"https://www.masterworks.com/research/artist/pablo-picasso/artwork/%22femme,-peintre-et-modle%22-1954-w:b8d56187f7cbd95",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SS-L11005lot272.jpg
Tête d'homme barbu,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$376.5K,$841.5K,2.2x,8 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/tte-d'homme-barbu-1965-w:65eeb34c2fe14bf,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL7405lot604.jpg
Le picador,PABLO PICASSO (b. 1881 d. 1973),pen and ink and ink wash on paper,$122.6K,$274K,2.2x,25 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/le-picador-1951-w:5573656b131774a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN09431lot374.jpg
Tête d’homme,PABLO PICASSO (b. 1881 d. 1973),brush and pen and ink and wash on paper,$153.6K,$337.5K,2.2x,10 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/tte-dhomme-1972-w:d1f547f5a56497a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL14004lot306.jpg
Modèle dans l’atelier,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$556.9K,$1.2M,2.2x,12 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/modle-dans-latelier-1965-w:c437105fe5882fd,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/TN09741lot33.jpg
Nu avec deux personnages,PABLO PICASSO (b. 1881 d. 1973),brush and ink and wash on paper,$72K,$156.5K,2.2x,8 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/nu-avec-deux-personnages-1967-w:ee581938c7269f5,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SS-L11005lot277.jpg
Femme debout,PABLO PICASSO (b. 1881 d. 1973),bronze with brown patina,$36.8K,$79.5K,2.2x,11 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/femme-debout-1945-w:2e94605cd075714,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL7190lot5.jpg
"""nu au chapeau, buste""",PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$3.7M,$8M,2.2x,11 years,"https://www.masterworks.com/research/artist/pablo-picasso/artwork/%22nu-au-chapeau,-buste%22-1965-w:02124d5ee537c0b",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN10067lot71.jpg
Le sauvetage,PABLO PICASSO (b. 1881 d. 1973),oil on canvas,$14.8M,$31.5M,2.1x,10 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/le-sauvetage-1940-w:7bdecfbbb2dfd4a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN09139lot120.jpg
La minotauromachie,PABLO PICASSO (b. 1881 d. 1973),"""etching with scraper and engraving, 1935, a richly-inked impression of the seventh (final) state, w",$819.7K,$1.7M,2.1x,19 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/la-minotauromachie-1900-w:62c51eaccd6e489,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL14006lot654.jpg
Toros y toreros,PABLO PICASSO (b. 1881 d. 1973),coloured crayon on paper,$49.1K,$102.9K,2.1x,8 years,https://www.masterworks.com/research/artist/pablo-picasso/artwork/toros-y-toreros-1963-w:bc36a97456af943,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SPF1316lot340.jpg
