title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Vermalung (braun),GERHARD RICHTER (b. 1932),oil on canvas,$26.4K,$80.5K,3x,5 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/vermalung-(braun)-1972-w:1fb6d45fc4b16cc,False,
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$665.8K,$2M,3x,6 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1977-w:6541220fd4ea5ed,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL06024lot24.jpg
Abstraktes bild (772-4),GERHARD RICHTER (b. 1932),oil on canvas,$132K,$386.5K,2.9x,6 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-(772-4)-1992-w:96a27ec2d94ca8e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2049lot172.jpg
Grün-blau-rot,GERHARD RICHTER (b. 1932),oil on canvas,$162K,$463.5K,2.9x,9 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/grn-blau-rot-1993-w:78e8217b8d594e2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/WN12157lot507.jpg
Vermalung,GERHARD RICHTER (b. 1932),oil on canvas,$31.3K,$83.8K,2.7x,13 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/vermalung-1972-w:51e068f9cce4541,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN12153lot156.jpg
Abstraktes bild (714-1),GERHARD RICHTER (b. 1932),oil on canvas,$865.3K,$2.3M,2.7x,9 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-(714-1)-1990-w:8e8cc1a254e508a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010718lot155.jpg
Untitled (4.5.86),GERHARD RICHTER (b. 1932),oil and pencil on paper laid down on canvas,$173K,$449.5K,2.6x,4 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/untitled-(4.5.86)-1986-w:d909cb83b33d433,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1079lot193.jpg
Grau,GERHARD RICHTER (b. 1932),oil on canvas,$420.5K,$1M,2.5x,13 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/grau-1974-w:6675b8c29f5c818,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2049lot251.jpg
Grat (5),GERHARD RICHTER (b. 1932),oil on canvas,$1.2M,$2.9M,2.4x,6 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/grat-(5)-1989-w:4a21f5e37c946a2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN09761lot9.jpg
For johann joseph fux,GERHARD RICHTER (b. 1932),oil on harpsichord,$115.2K,$262.4K,2.3x,6 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/for-johann-joseph-fux-1983-w:3a3769bb639bb80,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN1574lot46.jpg
Onkel rudi,GERHARD RICHTER (b. 1932),cibachrome photograph mounted on dibond plate,$12.5K,$27.2K,2.2x,2 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/onkel-rudi-1980-w:bbac9bc95d91cfa,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL13021lot402.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$95.4K,$207.5K,2.2x,3 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1988-w:9d825130eefde0b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN1079lot84.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$2.3M,$5M,2.1x,4 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1991-w:044784adf7df87d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08853lot30.jpg
Abstraktes bild (724-5),GERHARD RICHTER (b. 1932),oil on canvas,$1.9M,$3.9M,2.1x,4 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-(724-5)-1990-w:b6e9435d287fe46,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN2480lot35.jpg
Untitled (687-4),GERHARD RICHTER (b. 1932),oil on canvas,$4.4M,$9.1M,2.1x,2 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/untitled-(687-4)-1989-w:147ace545b0d990,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN2891lot11.jpg
Vermalung (braun) (inpainting (brown)),GERHARD RICHTER (b. 1932),oil on canvas,$31.7K,$65.2K,2.1x,14 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/vermalung-(braun)-(inpainting-(brown))-1972-w:dc6d40d009662b5,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/EL11960lot1086.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on board,$191.8K,$382.5K,2x,8 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1976-w:579825f73dd25bb,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/KL15023lot212.jpg
947635200,GERHARD RICHTER (b. 1932),oil on colour coupler print,$34.8K,$68.7K,2x,10 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/947635200-2000-w:ae1c923487eecd0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL11796lot34.jpg
Goldberg-variationen,GERHARD RICHTER (b. 1932),oil on long play record,$33.2K,$65K,2x,8 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/goldberg-variationen-1984-w:69520b42ea938fb,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/IN12121lot334.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$526K,$1M,1.9x,5 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1994-w:047c5b4a19b3ccf,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2558lot334.jpg
Abstraktes bild (767-2),GERHARD RICHTER (b. 1932),oil on canvas,$752.5K,$1.4M,1.8x,6 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-(767-2)-1992-w:0adfaaf62984c96,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SUK010616lot364.jpg
Kerze i,GERHARD RICHTER (b. 1932),oil on colour photograph,$40K,$72.6K,1.8x,5 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/kerze-i-1989-w:c83e8c76a8d88b1,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL5539lot244.jpg
Dϋsenjäger,GERHARD RICHTER (b. 1932),oil on canvas,$11.2M,$20.4M,1.8x,12 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/dsenjger-1963-w:2cf7bcf5e5452f1,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CNY010716lot16.jpg
Untitled (19.3.86),GERHARD RICHTER (b. 1932),oil on paper laid down on canvas,$756K,$1.3M,1.8x,7 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/untitled-(19.3.86)-1986-w:93dd8874c0d6220,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL18020lot249.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$335.6K,$580.4K,1.7x,7 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1992-w:92ab41caa8f6290,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL14023lot248.jpg
Abstraktes bild (712),GERHARD RICHTER (b. 1932),oil on canvas,$17.4M,$29.3M,1.7x,2 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-(712)-1990-w:6f2bd4976d04234,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN2847lot4.jpg
Abstraktes bild (abstract painting),GERHARD RICHTER (b. 1932),139.7 cm x 139.7 cm,$165.5K,$277.1K,1.7x,11 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-(abstract-painting)-1979-w:4dbeb49226077bd,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PL18943lot236.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$1.9M,$3.1M,1.6x,4 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1997-w:3fccfc203e368f5,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL12024lot222.jpg
Ohne titel,GERHARD RICHTER (b. 1932),oil on paper,$106.3K,$168.2K,1.6x,6 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/ohne-titel-w:13b59163db1b24d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL20027lot349.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$3M,$4.7M,1.6x,4 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1988-w:4374591808a0f1a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08791lot519.jpg
Kind (child),GERHARD RICHTER (b. 1932),oil on canvas,$4.8M,$7.1M,1.5x,3 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/kind-(child)-1989-w:b67a56a10c91114,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN3740lot14.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$1.1M,$1.6M,1.5x,5 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1998-w:954eb7c9a77d589,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SHK0701lot32.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$589.1K,$850.3K,1.4x,5 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1992-w:5b7ef38340c4bea,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL8053lot156.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$142.1K,$204K,1.4x,3 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-1988-w:f26ad0260d8b0b4,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1835lot284.jpg
Untitled,GERHARD RICHTER (b. 1932),5.7 cm x 8.3 cm,$23.2K,$32K,1.4x,3 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/untitled-1932-w:a301848cfeedbcc,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/KL21019lot736.jpg
Rot-blau-gelb,GERHARD RICHTER (b. 1932),oil on canvas,$36K,$49K,1.4x,2 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/rot-blau-gelb-1973-w:886efab370706c7,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1970lot548.jpg
Rot-blau-gelb,GERHARD RICHTER (b. 1932),oil on canvas,$689.6K,$870.1K,1.3x,5 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/rot-blau-gelb-1973-w:bdab73aad581b30,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PL12024lot45.jpg
Abstraktes bild,GERHARD RICHTER (b. 1932),oil on canvas,$3.5M,$4.3M,1.3x,1 years,https://www.masterworks.com/research/artist/GERHARD-RICHTER/artwork/abstraktes-bild-w:7843584dcc6aec3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN20180lot80C.jpg
