title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Henry geldzalher,DAVID HOCKNEY (b. 1937),wax crayon on paper,$26.4K,$25K,0.9x,3 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/henry-geldzalher-1980-w:0634fd6d7adc4d3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2191lot181.jpg
Portrait of j.b. priestley,DAVID HOCKNEY (b. 1937),pen and ink,$24K,$22.5K,0.9x,4 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/portrait-of-j.b.-priestley-1970-w:e89a1c4be462990,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL09696lot199.jpg
William burroughs ii,DAVID HOCKNEY (b. 1937),ink on paper,$43.8K,$40K,0.9x,5 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/william-burroughs-ii-1980-w:5c598430b9aa9ba,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CO18872lot593.jpg
Aubergine,DAVID HOCKNEY (b. 1937),pastel and colored pencil on paper,$54K,$48.8K,0.9x,3 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/aubergine-1970-w:874aba510ea6487,False,
"""tea time, los angeles, april 1983""",DAVID HOCKNEY (b. 1937),photocollage on board,$5K,$4.4K,0.9x,1 years,"https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/%22tea-time,-los-angeles,-april-1983%22-1983-w:f8eecabb65954a1",False,
Portrait of nick wilder,DAVID HOCKNEY (b. 1937),acrylic on canvas,$2.9M,$2.4M,0.8x,1 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/portrait-of-nick-wilder-1966-w:924912eab00bc7d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN07938lot54.jpg
Gregory,DAVID HOCKNEY (b. 1937),colored pencil on paper,$42.9K,$31.1K,0.7x,7 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/gregory-1975-w:40a13ef8288b135,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN6414lot377.jpg
"""the merced river, yosemite valley""",DAVID HOCKNEY (b. 1937),c-print photocollage,$48.5K,$24.5K,0.5x,18 years,"https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/%22the-merced-river,-yosemite-valley%22-1982-w:aea854d502dd1ce",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL17025lot640.jpg
Stanley,DAVID HOCKNEY (b. 1937),ink,$12.1K,$5.3K,0.4x,10 years,https://www.masterworks.com/research/artist/DAVID-HOCKNEY/artwork/stanley-1988-w:7ecd7e73d3dc857,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL12304lot633.jpg
title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Study for a pope,FRANCIS BACON (b. 1909 d. 1992),oil on canvas,$14.8K,$5.7M,387.6x,25 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/study-for-a-pope-1955-w:78e9e473e01118d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN6936lot55.jpg
Portrait of george dyer talking,FRANCIS BACON (b. 1909 d. 1992),oil on canvas,$1.4M,$70.2M,49.1x,27 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/portrait-of-george-dyer-talking-1966-w:ff567a6b8b0cab4,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL1510lot85.jpg
Two studies for portrait of clive barker,FRANCIS BACON (b. 1909 d. 1992),"""oil on canvas, in two parts""",$137.5K,$4.8M,35.2x,29 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/two-studies-for-portrait-of-clive-barker-1978-w:a44263c7db9f013,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN09430lot41a.jpg
Three studies for self-portrait,FRANCIS BACON (b. 1909 d. 1992),"""oil on canvas, in three parts""",$3M,$28M,9.5x,9 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/three-studies-for-self-portrait-1976-w:fda732144b842dd,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1997lot16.jpg
Oedipus and the sphinx after ingres,FRANCIS BACON (b. 1909 d. 1992),lithograph printed in colours,$2.3K,$18.3K,8.1x,19 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/oedipus-and-the-sphinx-after-ingres-1984-w:89384598e6bf332,False,
Study for self-portrait,FRANCIS BACON (b. 1909 d. 1992),oil on canvas,$1.8M,$7.1M,4x,11 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/study-for-self-portrait-1980-w:cbdb01fd0d09864,False,
Three studies of isabel rawsthorne,FRANCIS BACON (b. 1909 d. 1992),oil on canvas,$4.3M,$17.3M,4x,9 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/three-studies-of-isabel-rawsthorne-1966-w:c706286612f2e72,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL13022lot26.jpg
Three studies for a self-portrait,FRANCIS BACON (b. 1909 d. 1992),oil on canvas,$7M,$21.5M,3.1x,7 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/three-studies-for-a-self-portrait-1980-w:3628a1d95ba7fdb,False,
Portrait of george dyer staring into a mirror,FRANCIS BACON (b. 1909 d. 1992),oil on canvas,$3.9M,$9M,2.3x,15 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/portrait-of-george-dyer-staring-into-a-mirror-1967-w:ff29dfe0892914f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL7061lot28.jpg
Version no. 2 of lying figure with hypodermic syringe,FRANCIS BACON (b. 1909 d. 1992),oil on canvas,$15M,$26.8M,1.8x,10 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/version-no.-2-of-lying-figure-with-hypodermic-syringe-1968-w:0ff6604254731bd,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CC-L13100lot6.jpg
Portrait of henrietta moraes,FRANCIS BACON (b. 1909 d. 1992),oil on canvas,$33.4M,$47.8M,1.4x,3 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/portrait-of-henrietta-moraes-1963-w:28eaeda0a62754d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN3740lot12.jpg
Seated woman,FRANCIS BACON (b. 1909 d. 1992),oil on canvas,$20.1M,$28.2M,1.4x,8 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/seated-woman-1961-w:346792ae91c375a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010315lot23.jpg
Portrait of george dyer riding a bicycle,FRANCIS BACON (b. 1909 d. 1992),giclee print face mounted on aluminum,$20.6K,$25.5K,1.2x,1 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/portrait-of-george-dyer-riding-a-bicycle-1966-w:694244b1f235549,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CHK0784lot249.jpg
Head,FRANCIS BACON (b. 1909 d. 1992),oil on canvas,$1.6M,$1.9M,1.2x,7 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/head-1949-w:b24033f0e9ea3c6,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SPF1915lot46.jpg
Study for a portrait,FRANCIS BACON (b. 1909 d. 1992),oil on canvas,$4.1M,$4.4M,1.1x,6 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/study-for-a-portrait-1978-w:cfab9983a7f5c4f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL1510lot12.jpg
Studies of isabel rawsthorne,FRANCIS BACON (b. 1909 d. 1992),oil on canvas,$3.7M,$2.6M,0.7x,10 years,https://www.masterworks.com/research/artist/FRANCIS-BACON/artwork/studies-of-isabel-rawsthorne-1983-w:393f807c3a8ebeb,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL8052lot31.jpg
